YEAR,NAME,PLATFORM,GENRE,PUBLISHER,EU_SALES,GLOBAL_SALES
1992,The 7th Guest,PC,Adventure,Virgin Interactive,0.77,0.78
1994,Star Wars: Dark Forces,PC,Shooter,LucasArts,0.77,1.95
1996,Diablo,PC,Role-Playing,Activision,1.58,1.59
1997,Tenchu: Stealth Assassins,PS,Action,Activision,0.64,1.99
1997,Time Crisis,PS,Shooter,Namco Bandai Games,0.87,1.68
1998,FIFA 2000,PS,Sports,Electronic Arts,1.47,1.87
1998,Toy Story 2: Buzz Lightyear to the Rescue!,PS,Platform,Activision,0.64,1.71
1998,F-1 World Grand Prix,N64,Racing,Video System,0.96,1.6
1998,TOCA 2: Touring Cars,PS,Racing,Codemasters,1.16,1.32
1998,Brian Lara Cricket,PS,Sports,Codemasters,1.13,1.26
1999,NFL GameDay 2000,PS,Sports,989 Studios,0.68,1.8
1999,Star Wars Episode I: The Phantom Menace,PS,Adventure,LucasArts,0.89,1.74
1999,Jampack Winter '99,PS,Misc,Sony Computer Entertainment,0.64,1.69
1999,Tom Clancy's Rainbow Six,PS,Shooter,Red Storm Entertainment,0.63,1.64
1999,Rugrats Studio Tour,PS,Adventure,THQ,0.67,1.31
1999,Championship Manager 99/00,PC,Sports,Eidos Interactive,0.98,1.07
1999,Worms Armageddon,PS,Strategy,Microprose,0.81,1.06
2000,Colin McRae Rally 2.0,PS,Racing,Codemasters,0.8,0.91
2001,Scooby Doo and the Cyber Chase,PS,Adventure,THQ,1.23,1.94
2001,Red Faction,PS2,Shooter,THQ,0.96,1.92
2001,Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,0.75,1.9
2001,NBA Live 2002,PS2,Sports,Electronic Arts,0.71,1.86
2001,Gran Turismo Concept 2001 Tokyo,PS2,Racing,Unknown,1.1,1.84
2001,Star Wars: Starfighter,PS2,Simulation,Activision,0.87,1.76
2001,Pro Evolution Soccer,PS2,Sports,Konami Digital Entertainment,0.9,1.75
2001,SSX Tricky,PS2,Sports,Electronic Arts,0.66,1.73
2001,Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,0.66,1.69
2001,"Monsters, Inc.",GBA,Adventure,THQ,0.95,1.67
2001,Spider-Man 2: Enter: Electro,PS,Action,Activision,0.87,1.55
2001,Simpsons Wrestling,PS,Fighting,Electronic Arts,1.16,1.51
2002,Harry Potter and the Chamber of Secrets,GBA,Action,Electronic Arts,0.64,1.99
2002,Harry Potter and the Chamber of Secrets,PS,Action,Electronic Arts,1.09,1.98
2002,Spyro: Enter the Dragonfly,PS2,Platform,Universal Interactive,0.95,1.97
2002,State of Emergency,PS2,Action,Take-Two Interactive,0.67,1.76
2002,Crash Bandicoot: The Huge Adventure,GBA,Platform,Universal Interactive,0.7,1.73
2002,Tiger Woods PGA Tour 2003,PS2,Sports,Electronic Arts,0.63,1.64
2002,Spyro 2: Season of Flame,GBA,Platform,Vivendi Games,0.65,1.58
2002,The Simpsons Skateboarding,PS2,Sports,Electronic Arts,0.9,1.52
2002,Red Faction II,PS2,Shooter,THQ,0.78,1.5
2002,Colin McRae Rally 3,PS2,Racing,Codemasters,1.05,1.4
2003,Crash Nitro Kart,PS2,Racing,Vivendi Games,1.01,1.95
2003,Def Jam Vendetta,PS2,Fighting,Electronic Arts,0.74,1.94
2003,The Sims: Makin' Magic,PC,Simulation,Electronic Arts,0.8,1.92
2003,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,Take-Two Interactive,0.66,1.72
2003,Warcraft III: The Frozen Throne,PC,Strategy,Activision,0.87,1.54
2003,Crash Bandicoot 2: N-Tranced,GBA,Platform,Vivendi Games,0.66,1.36
2003,Championship Manager 03/04,PC,Sports,Eidos Interactive,1.15,1.26
2003,Championship Manager 3,PC,Sports,Eidos Interactive,0.93,1.01
2003,Colin McRae Rally 04,PS2,Racing,Codemasters,0.71,0.94
2004,X-Men Legends,PS2,Role-Playing,Activision,0.72,1.93
2004,MX Unleashed,PS2,Racing,THQ,0.73,1.92
2004,Mortal Kombat: Deception,PS2,Fighting,Midway Games,0.72,1.88
2004,SingStar,PS2,Misc,Sony Computer Entertainment,1.37,1.86
2004,Shrek 2,PS2,Platform,Activision,0.69,1.86
2004,Sly 2: Band of Thieves,PS2,Platform,Sony Computer Entertainment,0.69,1.81
2004,The Getaway: Black Monday,PS2,Action,Sony Computer Entertainment,1.01,1.78
2004,The Urbz: Sims in the City,PS2,Simulation,Electronic Arts,0.95,1.76
2004,Def Jam: Fight for NY,PS2,Fighting,Electronic Arts,0.67,1.76
2004,NBA Ballers,PS2,Sports,Midway Games,0.63,1.66
2004,Prince of Persia: Warrior Within,PS2,Action,Ubisoft,0.88,1.64
2004,SingStar Party,PS2,Misc,Sony Computer Entertainment,1.04,1.35
2005,Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,Ubisoft,1.02,2.04
2005,Medal of Honor: European Assault (All Region sales),PS2,Shooter,Electronic Arts,0.69,1.88
2005,50 Cent: Bulletproof,PS2,Action,Vivendi Games,0.76,1.77
2005,Tony Hawk's American Wasteland (Old all region sales),PS2,Sports,Activision,0.63,1.62
2005,Buzz! The Music Quiz,PS2,Misc,Sony Computer Entertainment,1.18,1.61
2005,World Soccer Winning Eleven 9 (JP & Others sales),PSP,Sports,Konami Digital Entertainment,0.88,1.2
2005,Grand Theft Auto: San Andreas,PC,Action,Take-Two Interactive,0.92,0.98
2006,Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,0.65,1.96
2006,World Championship Poker: Featuring Howard Lederer - All In,PS2,Misc,Oxygen Interactive,0.64,1.68
2006,Need for Speed Carbon,X360,Racing,Electronic Arts,0.7,1.66
2006,Viva Pinata,X360,Simulation,Microsoft Game Studios,0.96,1.63
2006,Buzz! The BIG Quiz,PS2,Misc,Sony Computer Entertainment,1.1,1.49
2006,Bratz: Forever Diamondz,DS,Adventure,THQ,0.88,1.48
2006,Ridge Racer 7,PS3,Racing,Namco Bandai Games,0.7,1.37
2006,Need for Speed Carbon,Wii,Racing,Electronic Arts,0.66,1.29
2006,FIFA Soccer 07,PSP,Sports,Electronic Arts,0.65,1.21
2006,SingStar Rocks!,PS2,Misc,Sony Computer Entertainment,0.84,1.1
2006,SingStar Legends,PS2,Misc,Sony Computer Entertainment,0.75,1.1
2006,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,Sports,Konami Digital Entertainment,0.9,1.0
2006,SingStar Anthems,PS2,Misc,Sony Computer Entertainment,0.68,0.89
2006,Winning Eleven: Pro Evolution Soccer 2007,PSP,Sports,Konami Digital Entertainment,0.72,0.86
2007,TouchMaster,DS,Puzzle,Midway Games,1.27,2.01
2007,Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,0.82,1.85
2007,Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,0.74,1.82
2007,FIFA Soccer 08,PS3,Sports,Electronic Arts,1.07,1.76
2007,Personal Trainer: Math,DS,Puzzle,Nintendo,1.12,1.7
2007,Ben 10: Protector of Earth,DS,Action,D3Publisher,0.83,1.7
2007,Heavenly Sword,PS3,Action,Sony Computer Entertainment,0.73,1.66
2007,Pro Evolution Soccer 2008,PS3,Sports,Konami Digital Entertainment,1.1,1.59
2007,The Simpsons Game,DS,Action,Electronic Arts,0.79,1.53
2007,Sonic Rivals 2,PSP,Racing,Sega,0.69,1.52
2007,Imagine: Master Chef,DS,Simulation,Ubisoft,0.92,1.47
2007,My Word Coach,DS,Misc,Ubisoft,0.9,1.45
2007,Smarty Pants,Wii,Misc,Electronic Arts,0.76,1.45
2007,SingStar Pop,PS2,Misc,Sony Computer Entertainment,1.08,1.44
2007,FIFA Soccer 08,X360,Sports,Electronic Arts,0.89,1.35
2007,FIFA Soccer 08,PSP,Sports,Electronic Arts,0.76,1.35
2007,Rockstar Games presents Table Tennis,Wii,Sports,Take-Two Interactive,0.73,1.27
2007,Winter Sports: The Ultimate Challenge,Wii,Sports,RTL,0.68,1.26
2007,Medal of Honor: Airborne,PS3,Shooter,Electronic Arts,0.7,1.23
2007,The Sims 2: Castaway,Wii,Simulation,Electronic Arts,0.64,1.23
2007,Call of Duty 4: Modern Warfare,PC,Shooter,Activision,1.12,1.15
2007,Worldwide Soccer Manager 2008,PC,Sports,Russel,1.12,1.12
2007,Pro Evolution Soccer 2008,X360,Sports,Konami Digital Entertainment,0.9,1.07
2007,DiRT,PS3,Racing,Codemasters,0.67,1.06
2007,FIFA Soccer 08,DS,Sports,Electronic Arts,0.65,0.85
2007,Crysis,PC,Shooter,Electronic Arts,0.69,0.72
2008,Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,1.09,2.04
2008,Dead Space,PS3,Action,Electronic Arts,0.67,2.02
2008,Burnout Paradise,PS3,Racing,Electronic Arts,0.64,1.97
2008,FIFA Soccer 09,X360,Sports,Electronic Arts,1.26,1.94
2008,Monopoly,Wii,Misc,Electronic Arts,0.85,1.92
2008,Dance Dance Revolution X,PS2,Simulation,Konami Digital Entertainment,0.66,1.75
2008,Imagine: Teacher,DS,Simulation,Ubisoft,0.83,1.72
2008,Need For Speed: Undercover,X360,Racing,Electronic Arts,0.71,1.69
2008,Big Beach Sports,Wii,Sports,THQ,1.02,1.67
2008,Far Cry 2,X360,Action,Ubisoft,0.69,1.6
2008,High School Musical 3: Senior Year,DS,Misc,Disney Interactive Studios,0.76,1.58
2008,MySims Kingdom,Wii,Simulation,Electronic Arts,0.65,1.53
2008,Wall-E,DS,Platform,THQ,0.83,1.46
2008,Far Cry 2,PS3,Action,Ubisoft,0.7,1.4
2008,MotorStorm: Pacific Rift,PS3,Racing,Sony Computer Entertainment,0.67,1.37
2008,FIFA Soccer 09,PSP,Sports,Electronic Arts,0.73,1.35
2008,Pro Evolution Soccer 2008,Wii,Sports,Konami Digital Entertainment,0.84,1.19
2008,Spore,PC,Strategy,Electronic Arts,1.06,1.17
2008,Worldwide Soccer Manager 2009,PC,Simulation,Sega,1.14,1.15
2008,Junior Brain Trainer,DS,Misc,GSP,0.74,1.06
2008,Sega Superstars Tennis,Wii,Sports,Sega,0.65,1.06
2008,Puzzler Collection,DS,Puzzle,Ubisoft,0.78,1.0
2008,PES 2009: Pro Evolution Soccer,X360,Sports,Konami Digital Entertainment,0.76,1.0
2008,Fallout 3,PC,Role-Playing,Bethesda Softworks,0.88,0.99
2008,Assassin's Creed,PC,Adventure,Ubisoft,0.83,0.92
2008,Peppa Pig: The Game,DS,Misc,Pinnacle,0.82,0.88
2008,Grand Theft Auto IV,PC,Action,Take-Two Interactive,0.79,0.88
2008,Summer Sports: Paradise Island (Others sales),Wii,Sports,Ubisoft,0.66,0.67
2008,Command & Conquer: Red Alert 3,PC,Strategy,Electronic Arts,0.64,0.67
2009,Need for Speed: Shift,X360,Racing,Electronic Arts,0.97,1.92
2009,Toy Story Mania!,Wii,Misc,Disney Interactive Studios,0.67,1.92
2009,Cooking Mama 3: Shop & Chop,DS,Simulation,505 Games,0.66,1.75
2009,New Play Control! Mario Power Tennis,Wii,Sports,Nintendo,0.69,1.48
2009,FIFA Soccer 10,PSP,Sports,Electronic Arts,0.68,1.16
2009,Rabbids Go Home,Wii,Platform,Ubisoft,0.75,1.14
2009,Empire: Total War,PC,Strategy,Sega,0.97,1.09
2009,FIFA Soccer 10,Wii,Sports,Electronic Arts,0.65,0.99
2009,Call of Duty: Modern Warfare 2,PC,Shooter,Activision,0.79,0.89
2009,We Sing,Wii,Misc,Nordic Games,0.69,0.78
2010,Sonic Classic Collection,DS,Platform,Sega,0.8,1.97
2010,GoldenEye 007 (2010),Wii,Action,Activision,0.71,1.86
2010,Just Cause 2,PS3,Action,Square Enix,0.94,1.78
2010,The Sims 3: Late Night Expansion Pack,PC,Simulation,Electronic Arts,0.87,1.71
2010,Just Cause 2,X360,Action,Square Enix,0.85,1.62
2010,Mafia II,PS3,Action,Take-Two Interactive,0.72,1.52
2010,Sonic & Sega All-Stars Racing,Wii,Racing,Sega,0.71,1.51
2010,The Sims 3,Wii,Simulation,Electronic Arts,0.73,1.49
2010,F1 2010,PS3,Racing,Codemasters,0.76,1.35
2010,Football Manager 2011,PC,Sports,Sega,1.01,1.26
2010,2010 FIFA World Cup South Africa,PS3,Sports,Electronic Arts,0.64,1.23
2010,FIFA Soccer 11,PSP,Sports,Electronic Arts,0.7,1.21
2010,FIFA Soccer 11,Wii,Sports,Electronic Arts,0.69,1.08
2010,Dance on Broadway,Wii,Misc,Ubisoft,0.66,1.05
2011,Need for Speed: The Run,PS3,Action,Electronic Arts,1.06,2.04
2011,LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,0.66,1.91
2011,Professor Layton and the Mask of Miracle,3DS,Puzzle,Nintendo,0.95,1.78
2011,Uncharted: Golden Abyss,PSV,Shooter,Sony Computer Entertainment,0.75,1.74
2011,Portal 2,PS3,Shooter,Valve,0.63,1.74
2011,Call of Duty: Modern Warfare 3,PC,Shooter,Activision,0.98,1.72
2011,Go Vacation,Wii,Misc,Namco Bandai Games,0.68,1.65
2011,LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,0.72,1.64
2011,Sonic Generations,PS3,Platform,Sega,0.73,1.63
2011,Moshi Monsters: Moshling Zoo,DS,Misc,Activision,0.99,1.6
2011,Football Manager 2012,PC,Sports,Sega,1.16,1.51
2011,Anno 2070,PC,Strategy,Ubisoft,1.13,1.45
2011,F1 2011,PS3,Racing,Codemasters,0.75,1.22
2012,Forza Horizon,X360,Racing,Microsoft Game Studios,0.98,2.02
2012,Resident Evil 6,X360,Shooter,Capcom,0.63,1.98
2012,Max Payne 3,PS3,Shooter,Take-Two Interactive,0.92,1.9
2012,World of Warcraft: Mists of Pandaria,PC,Role-Playing,Activision,0.76,1.83
2012,Hitman: Absolution,X360,Action,Square Enix,0.9,1.76
2012,LEGO Batman 2: DC Super Heroes,X360,Action,Warner Bros. Interactive Entertainment,0.64,1.68
2012,Max Payne 3,X360,Shooter,Take-Two Interactive,0.64,1.66
2012,Need for Speed: Most Wanted,X360,Racing,Electronic Arts,0.8,1.58
2012,Pro Evolution Soccer 2013,PS3,Sports,Konami Digital Entertainment,0.64,1.56
2012,Call of Duty: Black Ops II,PC,Shooter,Activision,0.69,1.53
2012,LittleBigPlanet PS Vita,PSV,Platform,Sony Computer Entertainment,0.72,1.47
2012,Medal of Honor: Warfighter,PS3,Action,Electronic Arts,0.65,1.46
2012,FIFA Street,PS3,Sports,Electronic Arts,0.92,1.29
2012,Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,0.64,1.19
2012,Football Manager 2013,PC,Sports,Sega,0.95,1.17
2012,F1 2012,PS3,Racing,Codemasters,0.64,1.07
2012,Farming Simulator 2013,PC,Simulation,Focus Home Interactive,0.8,0.99
2012,FIFA Street,X360,Sports,Electronic Arts,0.65,0.92
2013,LEGO Marvel Super Heroes,PS3,Action,Warner Bros. Interactive Entertainment,0.85,2.0
2013,Tomb Raider (2013),X360,Action,Square Enix,0.87,1.92
2013,Need for Speed Rivals,PS4,Racing,Electronic Arts,0.91,1.89
2013,Beyond: Two Souls,PS3,Adventure,Sony Computer Entertainment,0.88,1.79
2013,BioShock Infinite,PS3,Shooter,Take-Two Interactive,0.69,1.76
2013,Knack,PS4,Platform,Sony Computer Entertainment Europe,0.67,1.67
2013,StarCraft II: Heart of the Swarm,PC,Strategy,Activision,0.65,1.67
2013,LEGO Marvel Super Heroes,PS4,Action,Warner Bros. Interactive Entertainment,0.75,1.56
2013,LEGO City Undercover,3DS,Platform,Nintendo,0.75,1.46
2013,SimCity (2013),PC,Simulation,Electronic Arts,0.77,1.44
2013,Need for Speed Rivals,PS3,Racing,Electronic Arts,0.74,1.44
2013,Battlefield 4,PC,Shooter,Electronic Arts,0.86,1.4
2013,FIFA 14,XOne,Sports,Electronic Arts,0.66,1.19
2014,DriveClub,PS4,Racing,Sony Computer Entertainment,1.31,2.0
2014,Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,0.86,1.97
2014,Watch Dogs,PS3,Action,Ubisoft,0.89,1.93
2014,LittleBigPlanet 3,PS4,Platform,Sony Computer Entertainment,0.92,1.86
2014,The Evil Within,PS4,Action,Bethesda Softworks,0.84,1.81
2014,Diablo III,PS4,Role-Playing,Activision,0.88,1.74
2014,Destiny,PS3,Shooter,Activision,0.66,1.73
2014,The Crew,PS4,Racing,Ubisoft,1.08,1.7
2014,Far Cry 4,XOne,Shooter,Ubisoft,0.68,1.61
2014,Wolfenstein: The New Order,PS4,Shooter,Bethesda Softworks,0.8,1.58
2014,Far Cry 4,PS3,Shooter,Ubisoft,0.79,1.44
2014,Tomb Raider (2013),PS4,Action,Square Enix,0.64,1.41
2014,Forza Horizon 2,XOne,Racing,Microsoft Game Studios,0.78,1.37
2014,Farming Simulator 2015,PC,Simulation,Focus Home Interactive,1.02,1.23
2015,Destiny: The Taken King,PS4,Shooter,Activision,0.78,1.91
2015,Just Cause 3,PS4,Action,Square Enix,1.02,1.83
2015,Call of Duty: Black Ops 3,PS3,Shooter,Activision,0.96,1.79
2015,Forza Motorsport 6,XOne,Racing,Microsoft Game Studios,0.89,1.74
2015,The Order: 1886,PS4,Shooter,Sony Computer Entertainment,0.78,1.72
2015,The Elder Scrolls Online,PS4,Role-Playing,Bethesda Softworks,0.78,1.72
2015,FIFA 16,X360,Sports,Electronic Arts,1.01,1.69
2015,Dying Light,PS4,Action,Warner Bros. Interactive Entertainment,0.66,1.66
2015,Until Dawn,PS4,Adventure,Sony Computer Entertainment Europe,0.89,1.64
2015,Rise of the Tomb Raider,XOne,Adventure,Square Enix,0.64,1.3
2015,Grand Theft Auto V,PC,Action,Take-Two Interactive,0.64,1.08
2015,Project CARS,PS4,Racing,Slightly Mad Studios,0.69,1.04
2016,Overwatch,PS4,Shooter,Activision,0.68,1.73
2016,No Man's Sky,PS4,Action,Hello Games,0.74,1.6
2016,FIFA 17,XOne,Sports,Electronic Arts,1.26,1.53
2016,Doom (2016),PS4,Shooter,Bethesda Softworks,0.66,1.39
2016,Ratchet & Clank (2016),PS4,Platform,Sony Computer Entertainment,0.64,1.17
